Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.9355,0.4924,0.5076,0.701,0.5895,0.4105
2,0.6665,0.5872,0.4128,0.6235,0.65,0.35
3,0.6208,0.6271,0.3729,0.5963,0.6765,0.3235
4,0.5964,0.6491,0.3509,0.5781,0.6925,0.3075
5,0.5792,0.6671,0.3329,0.5659,0.7105,0.2895
6,0.5654,0.6791,0.3209,0.5534,0.7175,0.2825
7,0.5535,0.693,0.307,0.5432,0.728,0.272
8,0.543,0.6997,0.3003,0.5343,0.7345,0.2655
9,0.5333,0.7128,0.2872,0.5285,0.7405,0.2595
10,0.5251,0.7164,0.2836,0.5209,0.745,0.255
11,0.5168,0.7229,0.2771,0.514,0.7495,0.2505
12,0.5095,0.729,0.271,0.5079,0.7585,0.2415
13,0.5028,0.733,0.267,0.5029,0.7625,0.2375
14,0.4964,0.7396,0.2604,0.4981,0.77,0.23
15,0.4908,0.7415,0.2585,0.4939,0.77,0.23
16,0.4856,0.75,0.25,0.4897,0.773,0.227
17,0.4804,0.7508,0.2492,0.486,0.7725,0.2275
18,0.4759,0.7542,0.2458,0.4822,0.777,0.223
19,0.4712,0.7581,0.2419,0.48,0.7755,0.2245
20,0.4671,0.7623,0.2377,0.4764,0.778,0.222
21,0.463,0.7647,0.2353,0.4737,0.7815,0.2185
22,0.459,0.7679,0.2321,0.4712,0.782,0.218
23,0.4552,0.7697,0.2303,0.4689,0.784,0.216
24,0.4517,0.7727,0.2273,0.4668,0.783,0.217
25,0.4483,0.7745,0.2255,0.4649,0.7815,0.2185
26,0.445,0.7778,0.2222,0.4626,0.7815,0.2185
27,0.4417,0.7799,0.2201,0.4604,0.7835,0.2165
28,0.4388,0.7807,0.2193,0.4587,0.787,0.213
29,0.4355,0.785,0.215,0.4567,0.7875,0.2125
30,0.4327,0.7848,0.2152,0.4553,0.7885,0.2115
31,0.4298,0.7892,0.2108,0.4545,0.791,0.209
32,0.4274,0.7891,0.2109,0.4536,0.791,0.209
33,0.4249,0.7894,0.2106,0.4507,0.793,0.207
34,0.4222,0.7942,0.2058,0.4499,0.7935,0.2065
35,0.4197,0.7937,0.2063,0.4483,0.796,0.204
36,0.4172,0.7948,0.2052,0.4472,0.797,0.203
37,0.4152,0.7967,0.2033,0.4461,0.7975,0.2025
38,0.4129,0.7984,0.2016,0.4449,0.797,0.203
39,0.4107,0.7992,0.2008,0.4433,0.7965,0.2035
40,0.4086,0.8006,0.1994,0.4426,0.799,0.201
41,0.4063,0.801,0.199,0.4412,0.799,0.201
42,0.4042,0.8031,0.1969,0.4403,0.8015,0.1985
43,0.4021,0.8065,0.1935,0.4398,0.802,0.198
44,0.4001,0.8061,0.1939,0.4385,0.802,0.198
45,0.3979,0.8082,0.1918,0.4379,0.8005,0.1995
46,0.396,0.8093,0.1907,0.437,0.8005,0.1995
47,0.3939,0.8116,0.1884,0.4358,0.8035,0.1965
48,0.3922,0.812,0.188,0.4352,0.803,0.197
49,0.3901,0.8129,0.1871,0.4349,0.802,0.198
50,0.3883,0.8124,0.1876,0.4338,0.8035,0.1965
