Epoch,Train Objective,Train Acc,Train misclassification ER,Testing Objective,Testing Acc,Testing misclassification ER
1,0.7015,0.5797,0.4203,0.6226,0.6575,0.3425
2,0.6039,0.6512,0.3488,0.5759,0.694,0.306
3,0.5648,0.6821,0.3179,0.5447,0.7235,0.2765
4,0.5367,0.7074,0.2926,0.5243,0.7395,0.2605
5,0.5173,0.7229,0.2771,0.5077,0.7485,0.2515
6,0.5007,0.736,0.264,0.4972,0.7505,0.2495
7,0.4871,0.7467,0.2533,0.4853,0.758,0.242
8,0.476,0.7545,0.2455,0.4773,0.761,0.239
9,0.4659,0.7633,0.2367,0.4712,0.764,0.236
10,0.4567,0.7698,0.2302,0.464,0.769,0.231
11,0.4486,0.7751,0.2249,0.4589,0.7695,0.2305
12,0.4419,0.7783,0.2217,0.4552,0.7735,0.2265
13,0.4358,0.7823,0.2177,0.4522,0.776,0.224
14,0.4295,0.7911,0.2089,0.4488,0.778,0.222
15,0.4253,0.7869,0.2131,0.4463,0.7785,0.2215
16,0.4204,0.7939,0.2061,0.4424,0.783,0.217
17,0.4149,0.798,0.202,0.4409,0.783,0.217
18,0.411,0.8005,0.1995,0.4387,0.782,0.218
19,0.4065,0.8029,0.1971,0.4366,0.7835,0.2165
20,0.4024,0.805,0.195,0.4356,0.782,0.218
21,0.3989,0.8066,0.1934,0.4336,0.7855,0.2145
22,0.3946,0.8096,0.1904,0.4317,0.787,0.213
23,0.3914,0.8116,0.1884,0.4309,0.785,0.215
24,0.3876,0.8146,0.1854,0.4287,0.789,0.211
25,0.3838,0.8167,0.1833,0.4293,0.7925,0.2075
26,0.3812,0.8175,0.1825,0.4271,0.792,0.208
27,0.3777,0.8199,0.1801,0.4258,0.7945,0.2055
28,0.3746,0.8221,0.1779,0.4261,0.793,0.207
29,0.3713,0.8258,0.1742,0.4246,0.792,0.208
30,0.3687,0.8275,0.1725,0.4238,0.7925,0.2075
31,0.3652,0.8277,0.1723,0.4226,0.797,0.203
32,0.3621,0.8303,0.1697,0.4222,0.7955,0.2045
33,0.3595,0.8313,0.1687,0.4211,0.795,0.205
34,0.357,0.8352,0.1648,0.4222,0.799,0.201
35,0.3536,0.8368,0.1632,0.4199,0.7995,0.2005
36,0.3506,0.8384,0.1616,0.4181,0.7985,0.2015
37,0.3482,0.8386,0.1614,0.4178,0.7995,0.2005
38,0.3461,0.8414,0.1586,0.4183,0.7985,0.2015
39,0.3426,0.8422,0.1578,0.417,0.799,0.201
40,0.3403,0.845,0.155,0.4172,0.799,0.201
41,0.3373,0.8448,0.1552,0.4174,0.8,0.2
42,0.3354,0.8479,0.1521,0.4156,0.798,0.202
43,0.3325,0.8493,0.1507,0.4185,0.798,0.202
44,0.3298,0.851,0.149,0.4151,0.8005,0.1995
45,0.3275,0.8522,0.1478,0.4152,0.803,0.197
46,0.3249,0.8543,0.1457,0.4171,0.799,0.201
47,0.3222,0.8543,0.1457,0.4147,0.8045,0.1955
48,0.3201,0.8549,0.1451,0.4134,0.803,0.197
49,0.3174,0.8575,0.1425,0.4128,0.8045,0.1955
50,0.3156,0.8586,0.1414,0.413,0.803,0.197
