Epoch,Train Objective,Train Acc,Train misclassification ER,Testing Objective,Testing Acc,Testing misclassification ER
1,0.7016,0.5937,0.4063,0.5892,0.6885,0.3115
2,0.5828,0.6614,0.3386,0.554,0.7115,0.2885
3,0.5452,0.6933,0.3067,0.5305,0.7395,0.2605
4,0.5194,0.7135,0.2865,0.5117,0.749,0.251
5,0.4991,0.7297,0.2703,0.4978,0.7645,0.2355
6,0.4823,0.7472,0.2528,0.4866,0.764,0.236
7,0.4683,0.7573,0.2427,0.4763,0.7735,0.2265
8,0.4564,0.7637,0.2363,0.4705,0.7745,0.2255
9,0.4473,0.7716,0.2284,0.4658,0.776,0.224
10,0.4376,0.7764,0.2236,0.4589,0.7805,0.2195
11,0.4295,0.7849,0.2151,0.4551,0.783,0.217
12,0.4228,0.7907,0.2093,0.4534,0.7845,0.2155
13,0.4158,0.7938,0.2062,0.4516,0.7845,0.2155
14,0.4091,0.7991,0.2009,0.4469,0.792,0.208
15,0.4037,0.8034,0.1966,0.4433,0.7885,0.2115
16,0.3972,0.8062,0.1938,0.4433,0.79,0.21
17,0.3932,0.8097,0.1903,0.4393,0.793,0.207
18,0.3869,0.8093,0.1907,0.4362,0.7955,0.2045
19,0.3822,0.8155,0.1845,0.4358,0.794,0.206
20,0.3775,0.8201,0.1799,0.4346,0.798,0.202
21,0.3725,0.8236,0.1764,0.4331,0.7955,0.2045
22,0.3675,0.8243,0.1757,0.4316,0.799,0.201
23,0.3633,0.8289,0.1711,0.4298,0.796,0.204
24,0.3591,0.8313,0.1687,0.4297,0.7995,0.2005
25,0.3547,0.8348,0.1652,0.4294,0.799,0.201
26,0.3503,0.8358,0.1642,0.428,0.7965,0.2035
27,0.3461,0.8383,0.1617,0.427,0.804,0.196
28,0.3423,0.841,0.159,0.4263,0.803,0.197
29,0.3387,0.845,0.155,0.4256,0.804,0.196
30,0.3346,0.8442,0.1558,0.425,0.804,0.196
31,0.3307,0.848,0.152,0.4249,0.809,0.191
32,0.3272,0.8491,0.1509,0.4241,0.805,0.195
33,0.324,0.8533,0.1467,0.4242,0.8085,0.1915
34,0.3198,0.8544,0.1456,0.4241,0.8,0.2
35,0.316,0.8569,0.1431,0.421,0.807,0.193
36,0.3126,0.8587,0.1413,0.4235,0.8095,0.1905
37,0.3095,0.861,0.139,0.4222,0.8095,0.1905
38,0.3063,0.8628,0.1372,0.4223,0.8105,0.1895
39,0.3029,0.8651,0.1349,0.4209,0.807,0.193
40,0.3,0.8675,0.1325,0.4238,0.8055,0.1945
41,0.2957,0.8699,0.1301,0.4217,0.808,0.192
42,0.2928,0.8715,0.1285,0.4223,0.8075,0.1925
43,0.2896,0.8736,0.1264,0.4227,0.81,0.19
44,0.2864,0.876,0.124,0.4218,0.8075,0.1925
45,0.2839,0.8757,0.1243,0.422,0.8095,0.1905
46,0.2805,0.8786,0.1214,0.4216,0.81,0.19
47,0.2769,0.881,0.119,0.4242,0.809,0.191
48,0.2754,0.8832,0.1168,0.4212,0.811,0.189
49,0.2716,0.8842,0.1158,0.4233,0.81,0.19
50,0.2686,0.8866,0.1134,0.4245,0.814,0.186
