Epoch,Train Objective,Train Acc,Train misclassification ER,Testing Objective,Testing Acc,Testing misclassification ER
1,0.5713,0.6837,0.3163,0.4682,0.774,0.226
2,0.4498,0.772,0.228,0.4505,0.778,0.222
3,0.4088,0.8047,0.1953,0.4521,0.775,0.225
4,0.3772,0.8235,0.1765,0.4269,0.802,0.198
5,0.3526,0.8377,0.1623,0.4274,0.808,0.192
6,0.3265,0.8514,0.1486,0.4135,0.816,0.184
7,0.3053,0.8643,0.1357,0.4197,0.8115,0.1885
8,0.2876,0.8774,0.1226,0.4404,0.805,0.195
9,0.2652,0.8861,0.1139,0.4153,0.815,0.185
10,0.2512,0.8952,0.1048,0.4289,0.8175,0.1825
11,0.2265,0.9097,0.0903,0.4451,0.8235,0.1765
12,0.2201,0.9108,0.0892,0.4352,0.8185,0.1815
13,0.1998,0.9197,0.0803,0.464,0.807,0.193
14,0.1869,0.9248,0.0752,0.4471,0.813,0.187
15,0.1806,0.93,0.07,0.4476,0.823,0.177
16,0.1614,0.9389,0.0611,0.4438,0.8265,0.1735
17,0.1502,0.9429,0.0571,0.4691,0.828,0.172
18,0.1394,0.9487,0.0513,0.4928,0.8165,0.1835
19,0.1355,0.9498,0.0502,0.4611,0.832,0.168
20,0.12,0.9551,0.0449,0.5185,0.8115,0.1885
21,0.1106,0.9621,0.0379,0.5323,0.818,0.182
22,0.1078,0.9617,0.0383,0.5285,0.825,0.175
23,0.0935,0.9697,0.0303,0.5219,0.8205,0.1795
24,0.0864,0.9721,0.0279,0.5251,0.8205,0.1795
25,0.0797,0.9746,0.0254,0.5581,0.817,0.183
26,0.0795,0.9753,0.0247,0.5641,0.82,0.18
27,0.0711,0.9765,0.0235,0.5429,0.8245,0.1755
28,0.0632,0.9814,0.0186,0.5797,0.82,0.18
29,0.0577,0.9847,0.0153,0.5994,0.814,0.186
30,0.0557,0.9845,0.0155,0.5922,0.8165,0.1835
31,0.0547,0.9848,0.0152,0.6159,0.8205,0.1795
32,0.0529,0.9841,0.0159,0.6418,0.821,0.179
33,0.0468,0.9867,0.0133,0.6264,0.8205,0.1795
34,0.0476,0.9866,0.0134,0.6607,0.817,0.183
35,0.0453,0.9858,0.0142,0.7177,0.811,0.189
36,0.0375,0.9906,0.0094,0.649,0.82,0.18
37,0.037,0.9887,0.0113,0.6737,0.813,0.187
38,0.0343,0.9904,0.0096,0.7043,0.815,0.185
39,0.0325,0.9915,0.0085,0.6848,0.8185,0.1815
40,0.0327,0.9905,0.0095,0.7236,0.8205,0.1795
41,0.0366,0.9898,0.0102,0.6758,0.825,0.175
42,0.0268,0.9937,0.0063,0.7079,0.8255,0.1745
43,0.0246,0.9931,0.0069,0.7092,0.824,0.176
44,0.027,0.9918,0.0082,0.7672,0.818,0.182
45,0.0305,0.9916,0.0084,0.7138,0.823,0.177
46,0.0231,0.9954,0.0046,0.7596,0.8215,0.1785
47,0.0243,0.9955,0.0045,0.7504,0.8225,0.1775
48,0.0212,0.9949,0.0051,0.8227,0.8205,0.1795
49,0.0207,0.9947,0.0053,0.791,0.818,0.182
50,0.0204,0.9952,0.0048,0.7506,0.83,0.17
