Epoch,Train Objective,Train Acc,Train misclassification ER,Testing Objective,Testing Acc,Testing misclassification ER
1,0.6179,0.6367,0.3633,0.567,0.705,0.295
2,0.5362,0.7018,0.2982,0.525,0.7355,0.2645
3,0.4992,0.7343,0.2657,0.4999,0.7585,0.2415
4,0.4753,0.7555,0.2445,0.4832,0.766,0.234
5,0.4578,0.7662,0.2338,0.4737,0.7765,0.2235
6,0.4436,0.7763,0.2237,0.4661,0.7815,0.2185
7,0.4313,0.7854,0.2146,0.4592,0.7765,0.2235
8,0.4208,0.7931,0.2069,0.4548,0.785,0.215
9,0.4121,0.7955,0.2045,0.4482,0.7835,0.2165
10,0.4037,0.8003,0.1997,0.4435,0.7875,0.2125
11,0.3962,0.8071,0.1929,0.4425,0.784,0.216
12,0.3891,0.8125,0.1875,0.4419,0.793,0.207
13,0.3813,0.8159,0.1841,0.4367,0.795,0.205
14,0.3748,0.821,0.179,0.4359,0.7925,0.2075
15,0.3687,0.8244,0.1756,0.4315,0.798,0.202
16,0.3621,0.8275,0.1725,0.4317,0.7955,0.2045
17,0.3562,0.8329,0.1671,0.4299,0.7955,0.2045
18,0.3514,0.8343,0.1657,0.4297,0.799,0.201
19,0.346,0.8389,0.1611,0.4243,0.797,0.203
20,0.3393,0.8433,0.1567,0.4258,0.7995,0.2005
21,0.3343,0.8465,0.1535,0.4212,0.7975,0.2025
22,0.3294,0.8492,0.1508,0.4212,0.799,0.201
23,0.324,0.8542,0.1458,0.4223,0.7985,0.2015
24,0.3197,0.8529,0.1471,0.4187,0.8045,0.1955
25,0.3147,0.8578,0.1422,0.4217,0.799,0.201
26,0.3099,0.86,0.14,0.4189,0.8025,0.1975
27,0.3056,0.8614,0.1386,0.4206,0.811,0.189
28,0.3006,0.8629,0.1371,0.4182,0.802,0.198
29,0.2963,0.8691,0.1309,0.4172,0.8125,0.1875
30,0.2918,0.8701,0.1299,0.4155,0.8105,0.1895
31,0.2874,0.8712,0.1288,0.4158,0.813,0.187
32,0.283,0.8748,0.1252,0.4157,0.8145,0.1855
33,0.2784,0.8778,0.1222,0.4145,0.8095,0.1905
34,0.2741,0.8782,0.1218,0.4161,0.8125,0.1875
35,0.2702,0.8849,0.1151,0.417,0.813,0.187
36,0.2668,0.8853,0.1147,0.4156,0.811,0.189
37,0.2619,0.8859,0.1141,0.4152,0.811,0.189
38,0.2577,0.8914,0.1086,0.4158,0.8135,0.1865
39,0.2533,0.8922,0.1078,0.4163,0.809,0.191
40,0.2513,0.8942,0.1058,0.4161,0.817,0.183
41,0.2456,0.8974,0.1026,0.4176,0.812,0.188
42,0.2422,0.8977,0.1023,0.4181,0.812,0.188
43,0.2382,0.9002,0.0998,0.4167,0.816,0.184
44,0.2345,0.9044,0.0956,0.4164,0.819,0.181
45,0.2311,0.9058,0.0942,0.4182,0.8185,0.1815
46,0.2269,0.9081,0.0919,0.4192,0.8145,0.1855
47,0.2238,0.9097,0.0903,0.4165,0.824,0.176
48,0.2205,0.9143,0.0857,0.4156,0.824,0.176
49,0.2171,0.9132,0.0868,0.4164,0.8205,0.1795
50,0.2127,0.9179,0.0821,0.4168,0.818,0.182
